Date,UKRAINE SMALL CAP
2010-11,1000.0
2010-12,1239.1292783069632
2011-01,1501.477277848477
2011-02,1303.2535300623413
2011-03,1289.9877605837087
2011-04,1149.1566139628537
2011-05,1009.9185849087783
2011-06,981.8428130156303
2011-07,1054.5916153879898
2011-08,694.5451380364608
2011-09,642.8439888533384
2011-10,436.3835241304924
2011-11,493.48494262730367
2011-12,446.1878331843535
2012-01,500.3477079782021
2012-02,530.3463431222925
2012-03,521.4082664413253
2012-04,499.72346254860327
2012-05,343.0764398345321
2012-06,334.3585154874647
2012-07,373.2874010012517
2012-08,327.1006830522262
2012-09,359.3727264629154
2012-10,308.9126885672679
2012-11,273.400916314788
2012-12,297.2171544791116
2013-01,281.6126407102467
2013-02,287.97052854281446
2013-03,253.09384798593823
2013-04,212.1321967926594
2013-05,217.93086996370505
2013-06,231.33300503351484
2013-07,255.41039588324597
2013-08,243.48006284017126
2013-09,243.07082928000096
2013-10,242.03015915488228
2013-11,240.38848731565108
2013-12,228.86471845480324
2014-01,203.78466061092067
2014-02,221.57139706706118
2014-03,181.505132420399
2014-04,206.3870754789301
2014-05,241.33601750002012
2014-06,246.77159339167886
2014-07,261.9623376301856
2014-08,230.72072428119824
2014-09,220.5450877045162
2014-10,231.52314516869168
2014-11,194.35027386589317
2014-12,188.60301075175963
2015-01,174.87615100935466
2015-02,116.10181327551075
2015-03,131.09271859665975
2015-04,153.55530557202454
2015-05,145.8637244054247
2015-06,145.85904712564562
2015-07,138.64860712822002
2015-08,131.29527598389188
2015-09,102.98477612120334
2015-10,93.70148107689072
2015-11,73.83063176998343
2015-12,73.00678153599719
2016-01,61.651338922163106
2016-02,59.93982233775634
2016-03,64.41702815837648
2016-04,70.40644034530959
2016-05,71.01307954283146
2016-06,76.25056228028065
2016-07,79.44800714380997
2016-08,78.13943097604056
2016-09,82.37072765242218
2016-10,81.66571621420331
2016-11,76.87865493157017
2016-12,77.60798298347132
2017-01,91.14321052496426
2017-02,95.37362613359602
2017-03,99.82138648693986
2017-04,106.832811
2017-05,105.417426
2017-06,112.19116
2017-07,114.456774
2017-08,103.858109
2017-09,103.953184
2017-10,103.369012
2017-11,108.55361
2017-12,115.687436
2018-01,134.695775
2018-02,134.063625
2018-03,142.201754
2018-04,145.24970392976627
2018-05,139.01816943693822
2018-06,129.35860550434026
2018-07,38.82216323221559
2018-08,38.39088546112749
2018-09,36.77309104512279
2018-10,38.19855669827128
2018-11,36.701266913642435
2018-12,30.730614704439226
2019-01,31.915730971164248
2019-02,34.54893063504878
2019-03,31.044332486705265
2019-04,31.223084100616642
2019-05,29.540310437441686
2019-06,29.99292607847732
2019-07,29.843563257289972
2019-08,27.708946602352704
2019-09,25.910194314411854
2019-10,23.937614393290964
